DBHID,PlotName,PlotID,Family,Genus,SpeciesName,Mnemonic,Subspecies,SpeciesID,SubspeciesID,QuadratName,QuadratID,PX,PY,QX,QY,TreeID,Tag,StemID,StemNumber,StemTag,PrimaryStem,CensusID,PlotCensusNumber,DBH,HOM,ExactDate,Date,ListOfTSM,HighHOM,LargeStem,Status
611461,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,721,327,129.13,410.85,9.13,10.85,85908,127557,104591,0,127557,NA,6,6,149,1.34,2016-07-28,20663,MAIN;A;C,1,NA,alive
488850,luquillo,1,Meliaceae,Guarea,guidonia,GUAGUI,NA,117,NA,721,327,121.02,406.99,1.02,6.99,124966,175175,163162,0,175175,NA,5,5,14.6,1.3,2012-01-30,19022,MAIN;A,1,NA,alive
411797,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,722,343,125.59,433.83,5.59,13.83,109470,156275,144284,0,156275,NA,4,4,NA,NA,2006-11-21,17126,MAIN;A;LS;B,1,NA,broken below
385089,luquillo,1,Elaeocarpaceae,Sloanea,berteroana,SLOBER,NA,198,NA,621,326,104.19,405.2,4.19,5.2,1812,102044,2206,0,102044,NA,4,4,43.9,1.24,2006-11-16,17121,MAIN;A,1,NA,alive
608903,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,622,342,114.26,431.24,14.26,11.24,8637,110191,10817,0,110191,NA,6,6,51,1.3,2016-08-15,20681,MAIN;A,1,NA,alive
480636,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,721,327,134.25,403.99,14.25,3.99,108655,154875,143381,0,154875,NA,5,5,22.3,1.3,2012-01-31,19023,MAIN;A,1,NA,alive
466782,luquillo,1,Urticaceae,Cecropia,schreberiana,CECSCH,NA,74,NA,721,327,134.01,410.95,14.01,10.95,770,100854,156134,0,172306,NA,5,5,NA,NA,2012-01-31,19023,SPROUT;LS,1,NA,stem dead
619282,luquillo,1,Rubiaceae,Psychotria,berteroana,PSYBER,NA,184,NA,721,327,120.51,405.27,0.51,5.27,126445,177885,166019,0,177885,NA,6,6,10.7,1.3,2016-07-28,20663,MAIN;A,1,NA,alive
410673,luquillo,1,Rubiaceae,Psychotria,berteroana,PSYBER,NA,184,NA,621,326,116.35,408.88,16.35,8.88,108472,154628,143158,0,154629,NA,4,4,NA,NA,2006-11-17,17122,SPROUT;LS,1,NA,stem dead
410502,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,621,326,103.8,410.67,3.8,10.67,108334,154397,142987,0,154397,NA,4,4,33.9,1.3,2006-11-16,17121,MAIN;A,1,NA,alive
481052,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,722,343,129.06,421.04,9.06,1.04,109473,156283,144287,0,156283,NA,5,5,NA,NA,2012-02-01,19024,MAIN;A;LS;B,1,NA,broken below
